id,Title,Type,Volumes,releaseData,endData,page_url,image_url,,,,
,"Maoyuu 4-koma: Muitemasen yo, Maou-sama!",Manga,3,2011,2014,https://myanimelist.net/manga/33423/Maoyuu_4-koma__Muitemasen_yo_Maou-sama,https://cdn.myanimelist.net/r/100x140/images/manga/2/119229.jpg?s=24f3c8346bb4f636aa4b1875d5b11fbb,,,,
,Boku no Mei,One-shot,,2012,2012,https://myanimelist.net/manga/60479/Boku_no_Mei,https://cdn.myanimelist.net/r/100x140/images/manga/1/104229.jpg?s=db33716a723116d295a7941b5221281c,,,,
,Outer Zone,Manga,15,1991,1994,https://myanimelist.net/manga/73373/Outer_Zone,https://cdn.myanimelist.net/r/100x140/images/manga/3/187161.jpg?s=6c9bbd7f8b8078883812e19b12595d63,,,,
,Bozebeats,Manga,2,2018,2018,https://myanimelist.net/manga/111214/Bozebeats,https://cdn.myanimelist.net/r/100x140/images/manga/1/209754.jpg?s=fa6a2b6f3089b2781dea5e971c40c9f5,,,,
,Rinna Keibu wa Iki ga Dekinai,Manga,3,2016,2017,https://myanimelist.net/manga/107104/Rinna_Keibu_wa_Iki_ga_Dekinai,https://cdn.myanimelist.net/r/100x140/images/manga/1/196081.jpg?s=307389d4143cf47f06aa1611b00da8c3,,,,
,Komi-san wa Comyushou desu.,One-shot,,2015,2015,https://myanimelist.net/manga/93530/Komi-san_wa_Comyushou_desu,https://cdn.myanimelist.net/r/100x140/images/manga/3/165402.jpg?s=8a08b108ea2ab6b4edc573592fb8b9e7,,,,
,Migi to Dali,Manga,7,2017,2021,https://myanimelist.net/manga/107774/Migi_to_Dali,https://cdn.myanimelist.net/r/100x140/images/manga/1/210003.jpg?s=7fb29ba4eb0ce5d1b99025fa2d765dc9,,,,
,Sora to Hara,Manga,1,2009,2011,https://myanimelist.net/manga/19570/Sora_to_Hara,https://cdn.myanimelist.net/r/100x140/images/manga/1/67873.jpg?s=53bf9db4e8647cf80515e7db5ed4dae8,,,,
,29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.,Manga,,2019,,https://myanimelist.net/manga/120857/29-sai_Dokushin_wa_Isekai_de_Jiyuu_ni_Ikitakatta,https://cdn.myanimelist.net/r/100x140/images/manga/3/220214.jpg?s=16293168584e09955d8a2e167e6fb281,,,,
,Hachimitsu to Clover Spin-off,Manga,,2006,2008,https://myanimelist.net/manga/66025/Hachimitsu_to_Clover_Spin-off,https://cdn.myanimelist.net/r/100x140/images/manga/3/113233.jpg?s=71fab943349bf1fe3b0961c491143cf4,,,,
,Fukigen na Mononokean,Manga,18,2013,2021,https://myanimelist.net/manga/67401/Fukigen_na_Mononokean,https://cdn.myanimelist.net/r/100x140/images/manga/3/130743.jpg?s=052c1c4c6099029ddb7966d11093b503,,,,
,Gabai: Saga no Gabai Baachan,Manga,11,,2010,https://myanimelist.net/manga/19709/Gabai__Saga_no_Gabai_Baachan,https://cdn.myanimelist.net/r/100x140/images/manga/1/196045.jpg?s=0d22b7e0c405c198cdab075dbabd0f18,,,,
,Sachi-iro no One Room,Manga,11,2016,2022,https://myanimelist.net/manga/104829/Sachi-iro_no_One_Room,https://cdn.myanimelist.net/r/100x140/images/manga/1/192115.jpg?s=5e9192ed54ea7290763dd536a23316c2,,,,
,Renka,Manga,1,,,https://myanimelist.net/manga/1846/Renka,https://cdn.myanimelist.net/r/100x140/images/manga/3/266568.jpg?s=b7c1386266b149882f1d93a2f9a96951,,,,
,Kono Gomi wo Nanto Yobu,Manga,,2022,,https://myanimelist.net/manga/147461/Kono_Gomi_wo_Nanto_Yobu,https://cdn.myanimelist.net/r/100x140/images/manga/3/261681.jpg?s=b77a7d0d419078a21c8e8c29a33439e1,,,,
,Ne0,17235,,,,1972,https://myanimelist.net/manga/116975/Ne0_lation,,,6.04,
,Seiyuu Ka!,Manga,12,2009,2013,https://myanimelist.net/manga/14633/Seiyuu_Ka,https://cdn.myanimelist.net/r/100x140/images/manga/2/269037.jpg?s=4316174c505dd4f6830cb3d766b3d0a0,,,,
,Beatless: Dystopia,Manga,2,2012,2013,https://myanimelist.net/manga/35159/Beatless__Dystopia,https://cdn.myanimelist.net/r/100x140/images/manga/3/112473.jpg?s=8db53417ee4d323441c171af924e33e2,,,,
,Komata-kun to Komata-chan,Doujinshi,1,2010,2010,https://myanimelist.net/manga/43725/Komata-kun_to_Komata-chan,https://cdn.myanimelist.net/r/100x140/images/manga/3/203756.jpg?s=479e5d913f62bfc597b872d21015374c,,,,
,Kono Ore ga Omae nanka Suki na Wakenai,Manga,1,2012,2012,https://myanimelist.net/manga/42053/Kono_Ore_ga_Omae_nanka_Suki_na_Wakenai,https://cdn.myanimelist.net/r/100x140/images/manga/3/174400.jpg?s=bbf026081a96ba0d6869f079f1e2011d,,,,
,Cutie Honey,Manga,1,1992,1993,https://myanimelist.net/manga/16941/Cutie_Honey,https://cdn.myanimelist.net/r/100x140/images/manga/3/152788.jpg?s=e833308b1a6f15294df9be4854c32eff,,,,
,G-Maru Edition,Manga,2,2010,2012,https://myanimelist.net/manga/21600/G-Maru_Edition,https://cdn.myanimelist.net/r/100x140/images/manga/3/70733.jpg?s=c33b0761abf120f6bd6110fb609a69c5,,,,
,Mashle,Manga,18,2020,2023,https://myanimelist.net/manga/124085/Mashle,https://cdn.myanimelist.net/r/100x140/images/manga/1/230705.jpg?s=9650dc036bf97685471e0cc500f07ce8,,,,
,Chitei Ryokou,Manga,4,2015,2017,https://myanimelist.net/manga/93181/Chitei_Ryokou,https://cdn.myanimelist.net/r/100x140/images/manga/1/174739.jpg?s=f69bc6f0c7f52f276ee73653f0b9e0b0,,,,
,Kimi ni Aisarete Itakatta,Manga,,2017,,https://myanimelist.net/manga/107776/Kimi_ni_Aisarete_Itakatta,https://cdn.myanimelist.net/r/100x140/images/manga/2/219898.jpg?s=e234721972f71c0a9bc5f5350b2a28fa,,,,
,Shaman King: The Super Star,Manga,,2018,,https://myanimelist.net/manga/114353/Shaman_King__The_Super_Star,https://cdn.myanimelist.net/r/100x140/images/manga/3/215123.jpg?s=8c5882b934ef8a90cc1ad9b57cbd3afe,,,,
,Astroid,Manga,,1989,1991,https://myanimelist.net/manga/102752/Astroid,https://cdn.myanimelist.net/r/100x140/images/manga/3/195929.jpg?s=a622f50c4439e46c1cc16866c17647b9,,,,
,Boku to Uchuujin,Manga,3,2015,2016,https://myanimelist.net/manga/108452/Boku_to_Uchuujin,https://cdn.myanimelist.net/r/100x140/images/manga/1/198624.jpg?s=5fd89903714bef7db336f066eb10b8ea,,,,
,Shishi to Cinderella,Manga,1,2004,2004,https://myanimelist.net/manga/37123/Shishi_to_Cinderella,https://cdn.myanimelist.net/r/100x140/images/manga/2/66899.jpg?s=a98c4d8e9b27512c65653aeb17b2b042,,,,
,Itoshi no Karin,Manga,3,2013,2014,https://myanimelist.net/manga/60889/Itoshi_no_Karin,https://cdn.myanimelist.net/r/100x140/images/manga/1/202211.jpg?s=6e5dc6e87395d00638510fe493a9356f,,,,
,Dolls Fall,Manga,4,2013,2015,https://myanimelist.net/manga/57143/Dolls_Fall,https://cdn.myanimelist.net/r/100x140/images/manga/3/115553.jpg?s=f93bd65e48b335c03fed47f0e5e99e03,,,,
,Haido Hakase no Jikan Note,One-shot,,,,https://myanimelist.net/manga/25663/Haido_Hakase_no_Jikan_Note,https://cdn.myanimelist.net/r/100x140/images/manga/2/50105.jpg?s=3e07d7d67dac11a04c78e32321a416fc,,,,
,Sazanami Cherry,Manga,1,2010,2011,https://myanimelist.net/manga/20188/Sazanami_Cherry,https://cdn.myanimelist.net/r/100x140/images/manga/3/128129.jpg?s=d73679398a87de4c8abc856f94f784da,,,,
,Douki to Tawawa,Doujinshi,1,2020,2020,https://myanimelist.net/manga/154463/Douki_to_Tawawa,https://cdn.myanimelist.net/r/100x140/images/manga/3/274165.jpg?s=886c9bf02fa96bdc4dbf8b325e94bc99,,,,
,Warera Nishizaki Kiba Gundan,One-shot,,2011,2011,https://myanimelist.net/manga/47411/Warera_Nishizaki_Kiba_Gundan,https://cdn.myanimelist.net/r/100x140/images/manga/4/111257.jpg?s=78e30cf7f14cc67933ce98057965cd85,,,,
,Keetai Kounago H,Manga,,2008,2010,https://myanimelist.net/manga/15175/Keetai_Kounago_H,https://cdn.myanimelist.net/r/100x140/images/manga/2/156348.jpg?s=4d3328049a717d0f28cd23552218deef,,,,
,After Friend,One-shot,,2007,2007,https://myanimelist.net/manga/10668/After_Friend,https://cdn.myanimelist.net/r/100x140/images/manga/2/17306.jpg?s=1c1dfc997fc45965956c891cf80bf05c,,,,
