id,Title,Type,Volumes,releaseData,endData,page_url,image_url,,,,
,Aoi Hana,Manga,8,2004,2013,https://myanimelist.net/manga/1363/Aoi_Hana,https://cdn.myanimelist.net/r/100x140/images/manga/5/262354.jpg?s=ca485373b491cb5fdce60a5be69c634a,,,,
,@Full Moon,Manga,2,,,https://myanimelist.net/manga/10974/Full_Moon,https://cdn.myanimelist.net/r/100x140/images/manga/3/14786.jpg?s=08beb5d13a3db7d8027e2d796f65e5f8,,,,
,Self,Manga,4,2008,2010,https://myanimelist.net/manga/17686/Self,https://cdn.myanimelist.net/r/100x140/images/manga/3/148327.jpg?s=15d49b69518db81ba2d87e20d342ca04,,,,
,Ai ga Love shite You Nano sa,Manga,1,2007,2010,https://myanimelist.net/manga/21391/Ai_ga_Love_shite_You_Nano_sa,https://cdn.myanimelist.net/r/100x140/images/manga/2/34462.jpg?s=d6e271729b3903cd93bf0592692b4c69,,,,
,Gringo 2061,Manga,,2013,2013,https://myanimelist.net/manga/58309/Gringo_2061,https://cdn.myanimelist.net/r/100x140/images/manga/2/100939.jpg?s=1efa0673871972c3036cd652d01265ec,,,,
,"Akuyaku Reijou desu ga, Shiawase ni Natte Misemasu wa!: Anthology Comic",Manga,,2019,,https://myanimelist.net/manga/122203/Akuyaku_Reijou_desu_ga_Shiawase_ni_Natte_Misemasu_wa__Anthology_Comic,https://cdn.myanimelist.net/r/100x140/images/manga/3/228420.jpg?s=7f9d9575b31d654ba101cd18853d94ad,,,,
,Take Moon,Manga,2,2002,2005,https://myanimelist.net/manga/780/Take_Moon,https://cdn.myanimelist.net/r/100x140/images/manga/3/163.jpg?s=a6755713dd0710939db2d6230924643f,,,,
,Unknown,One-shot,,2012,2012,https://myanimelist.net/manga/40855/Unknown,https://cdn.myanimelist.net/r/100x140/images/manga/2/71825.jpg?s=dcbec6317582cb6e3768c03ef86c172e,,,,
,Afro Samurai,Manga,2,2008,2009,https://myanimelist.net/manga/9935/Afro_Samurai,https://cdn.myanimelist.net/r/100x140/images/manga/5/25025.jpg?s=b8cc53e6518fd03b3d0d3d461795b3c3,,,,
,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Manga,24,2004,2011,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,https://cdn.myanimelist.net/r/100x140/images/manga/3/179882.jpg?s=aa3e372a5bc396c24cfe9b191e765fa7,,,,
,End Roll Back,Manga,3,2019,2021,https://myanimelist.net/manga/141028/End_Roll_Back,https://cdn.myanimelist.net/r/100x140/images/manga/1/251215.jpg?s=b6df758f2ea66978b6ded441ac8d5603,,,,
,Kimi ga Radio wo Suki dakara,Manga,3,2020,2022,https://myanimelist.net/manga/136523/Kimi_ga_Radio_wo_Suki_dakara,https://cdn.myanimelist.net/r/100x140/images/manga/2/244520.jpg?s=30be151019b805c69bb446308656b489,,,,
,Hakushaku to Yousei,Manga,4,2008,2010,https://myanimelist.net/manga/11597/Hakushaku_to_Yousei,https://cdn.myanimelist.net/r/100x140/images/manga/1/144283.jpg?s=9fb2a41e4c3b1863f863ebd8b4ed9c3b,,,,
,Flow,Manhwa,6,2013,2015,https://myanimelist.net/manga/118746/Flow,https://cdn.myanimelist.net/r/100x140/images/manga/3/216590.jpg?s=e994e880db54e435cb0367774cf95414,,,,
,Ryuu no Kawaii Nanatsu no Ko,Manga,1,2011,2012,https://myanimelist.net/manga/50993/Ryuu_no_Kawaii_Nanatsu_no_Ko,https://cdn.myanimelist.net/r/100x140/images/manga/1/148545.jpg?s=3f5186e0efa8534daec5e8a128201b69,,,,
,Kimetsu Gakuen!,Manga,,2021,,https://myanimelist.net/manga/140256/Kimetsu_Gakuen,https://cdn.myanimelist.net/r/100x140/images/manga/2/253850.jpg?s=91a72ddb43a3962edcfe8911d283d671,,,,
,Golden Days,Manga,8,2005,2007,https://myanimelist.net/manga/5454/Golden_Days,https://cdn.myanimelist.net/r/100x140/images/manga/3/270289.jpg?s=2246d0c2a673f9a690094de5d0630082,,,,
,Crazy Maniax,Manga,1,,,https://myanimelist.net/manga/6032/Crazy_Maniax,https://cdn.myanimelist.net/r/100x140/images/manga/1/266978.jpg?s=367b50906def2650334ee4c4d2f80b31,,,,
,Sayonara demo Aishiteru,Manga,1,2009,2009,https://myanimelist.net/manga/21046/Sayonara_demo_Aishiteru,https://cdn.myanimelist.net/r/100x140/images/manga/1/125501.jpg?s=cef94258274b27b6651a2c9c0939221a,,,,
,Exoskull Zero,Manga,8,2010,2014,https://myanimelist.net/manga/41305/Exoskull_Zero,https://cdn.myanimelist.net/r/100x140/images/manga/3/143571.jpg?s=15f2ccc883d9ad2af21fb5694ffaad9c,,,,
,"18 Years Old, We Got Married",Manhwa,10,,,https://myanimelist.net/manga/18739/18_Years_Old_We_Got_Married,https://cdn.myanimelist.net/r/100x140/images/manga/2/28713.jpg?s=99b4977838ad45be207a6cbfebf08d19,,,,
,Tama-nyan,Manga,,2013,2014,https://myanimelist.net/manga/56517/Tama-nyan,https://cdn.myanimelist.net/r/100x140/images/manga/2/158589.jpg?s=b45e3312e6d572cd6993d9a3a10886d2,,,,
,Gerbera,Manga,1,2002,2002,https://myanimelist.net/manga/1969/Gerbera,https://cdn.myanimelist.net/r/100x140/images/manga/2/164432.jpg?s=78bdd3c799e1e02792329f41a2ba36cc,,,,
,Ousama ni Sasagu Kusuriyubi,Manga,8,2014,2017,https://myanimelist.net/manga/76409/Ousama_ni_Sasagu_Kusuriyubi,https://cdn.myanimelist.net/r/100x140/images/manga/1/148873.jpg?s=368bb321721e1140047fe1efe76df640,,,,
,Sister Witch,One-shot,,2002,2002,https://myanimelist.net/manga/7425/Sister_Witch,https://cdn.myanimelist.net/r/100x140/images/manga/2/10132.jpg?s=dff9bc6b58d9a747902d8510dd54f474,,,,
,Munakata Kyouju Denkikou,Manga,8,1994,,https://myanimelist.net/manga/24090/Munakata_Kyouju_Denkikou,https://cdn.myanimelist.net/r/100x140/images/manga/2/264381.jpg?s=21a4510477362b8ce2343b40285fbb1f,,,,
,Meguru Kisetsu no Naka de,One-shot,,2014,2014,https://myanimelist.net/manga/69425/Meguru_Kisetsu_no_Naka_de,https://cdn.myanimelist.net/r/100x140/images/manga/1/119599.jpg?s=0fdf0f3ffef3fa57aeb1df3b21eead7a,,,,
,Andalusia no Yuuwaku,Manga,1,2007,2007,https://myanimelist.net/manga/29313/Andalusia_no_Yuuwaku,https://cdn.myanimelist.net/r/100x140/images/manga/1/47053.jpg?s=132794358a9d237f7eea4ec438e28990,,,,
,Ozanari-kun,Manga,1,,,https://myanimelist.net/manga/41011/Ozanari-kun,https://cdn.myanimelist.net/r/100x140/images/manga/3/72049.jpg?s=84c7f474b77befe094e70e334e30a00b,,,,
,Yarisugi Companion to Atashi Monogatari,Manga,1,2007,2008,https://myanimelist.net/manga/22293/Yarisugi_Companion_to_Atashi_Monogatari,https://cdn.myanimelist.net/r/100x140/images/manga/3/36239.jpg?s=ec66b6b430a6d0718389fa099a86d01e,,,,
,Shoujo Shounen Gakkyuu-dan,Manga,9,2007,2018,https://myanimelist.net/manga/25573/Shoujo_Shounen_Gakkyuu-dan,https://cdn.myanimelist.net/r/100x140/images/manga/1/208096.jpg?s=d552f98f93132701b978c57331dd7981,,,,
,Hiiragi-sensei wa Kyoushi Shikkaku!?,Manga,,2020,2020,https://myanimelist.net/manga/124983/Hiiragi-sensei_wa_Kyoushi_Shikkaku,https://cdn.myanimelist.net/r/100x140/images/manga/3/235716.jpg?s=aa3dc026f3eae89636c9fe11f6f3cbc7,,,,
,Claymore,Manga,27,2001,2014,https://myanimelist.net/manga/583/Claymore,https://cdn.myanimelist.net/r/100x140/images/manga/2/255378.jpg?s=2f46b3470eb1eb4544cfcc16e27eeba5,,,,
,Queen's Blade: Hide & Seek,Manga,5,2007,2010,https://myanimelist.net/manga/9062/Queens_Blade__Hide___Seek,https://cdn.myanimelist.net/r/100x140/images/manga/4/26099.jpg?s=46e29c3edcb57285bce140d4ad075765,,,,
,Love Phantom,Manga,,2014,,https://myanimelist.net/manga/86919/Love_Phantom,https://cdn.myanimelist.net/r/100x140/images/manga/3/161180.jpg?s=9bcd3bc48faaf8720c05e579495de3bf,,,,
,Mizu ni Sumu Hana,Manga,5,2004,2006,https://myanimelist.net/manga/4758/Mizu_ni_Sumu_Hana,https://cdn.myanimelist.net/r/100x140/images/manga/1/34282.jpg?s=294b2fcf0f5a5c52ffadc8db6147663c,,,,
,K: Days of Blue,Manga,2,2013,2014,https://myanimelist.net/manga/59675/K__Days_of_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/1/129641.jpg?s=5b37b41f82afd7f40fd0e3e925afcc40,,,,
,Boogiepop Series,Light-Novel,,1998,,https://myanimelist.net/manga/1315/Boogiepop_Series,https://cdn.myanimelist.net/r/100x140/images/manga/2/208765.jpg?s=eea99b7dae560a6b4c0e0d9e4f3c587f,,,,
,Devil Bride,One-shot,,,,https://myanimelist.net/manga/21539/Devil_Bride,https://cdn.myanimelist.net/r/100x140/images/manga/1/34826.jpg?s=a4cc822de1acce0d30bfbf3796132c22,,,,
,Dinosan,Manga,,2021,,https://myanimelist.net/manga/142793/Dinosan,https://cdn.myanimelist.net/r/100x140/images/manga/3/254009.jpg?s=2ecf53f2403c5750c9601293bb35e0a7,,,,
,Mahoroba Kissa,Manga,3,2013,2017,https://myanimelist.net/manga/96214/Mahoroba_Kissa,https://cdn.myanimelist.net/r/100x140/images/manga/2/171490.jpg?s=750e2dce869d78bc81952ea06b558512,,,,
,Soko ni Osuwari!,Manga,3,2010,,https://myanimelist.net/manga/28635/Soko_ni_Osuwari,https://cdn.myanimelist.net/r/100x140/images/manga/3/158583.jpg?s=1cc5abb1b75e0a3de7d688f9e1e627db,,,,
,Lady Chef Royale,Manhwa,,2020,,https://myanimelist.net/manga/148033/Lady_Chef_Royale,https://cdn.myanimelist.net/r/100x140/images/manga/1/262683.jpg?s=ca450ee09ce033ae74f07a9f314f5f6e,,,,
,Onna Tomodachi to Kekkon Shitemita.,Manga,,2020,,https://myanimelist.net/manga/131607/Onna_Tomodachi_to_Kekkon_Shitemita,https://cdn.myanimelist.net/r/100x140/images/manga/2/250277.jpg?s=be6aa6cfca9731e71351a8b17a5fe8b8,,,,
,KimiKiss: Sweet Lips,Manga,2,2006,2008,https://myanimelist.net/manga/16378/KimiKiss__Sweet_Lips,https://cdn.myanimelist.net/r/100x140/images/manga/3/24159.jpg?s=6f192fda05f3432821414b3f692bb2dc,,,,
,Shin Kidou Senki Gundam Wing,Manga,3,1995,1996,https://myanimelist.net/manga/349/Shin_Kidou_Senki_Gundam_Wing,https://cdn.myanimelist.net/r/100x140/images/manga/1/6310.jpg?s=eec4034783ea82e466774579ff83aafb,,,,
,"Okaeri, Tadaima, Mata Ashita",Manga,1,2014,2016,https://myanimelist.net/manga/102540/Okaeri_Tadaima_Mata_Ashita,https://cdn.myanimelist.net/r/100x140/images/manga/2/201957.jpg?s=eb8614a596f38ba14da98a05c83d61ca,,,,
,6-koma Manga: Aobuta,Manga,1,2018,2019,https://myanimelist.net/manga/121281/6-koma_Manga__Aobuta,https://cdn.myanimelist.net/r/100x140/images/manga/1/229885.jpg?s=c22a8089a4aa43c2159c73317e8010ed,,,,
,Best Couple,Manhwa,,,,https://myanimelist.net/manga/41749/Best_Couple,https://cdn.myanimelist.net/r/100x140/images/manga/2/73167.jpg?s=8d4110b90310149f7b51dc1495e66d9c,,,,
,My Darling Signed In,Manhwa,,2017,2019,https://myanimelist.net/manga/119435/My_Darling_Signed_In,https://cdn.myanimelist.net/r/100x140/images/manga/3/253281.jpg?s=aa663f7ae7eb07caca890dd8bbef8410,,,,
,"Kono Koi, Chaban ni Tsuki!?",Manga,,2020,,https://myanimelist.net/manga/152929/Kono_Koi_Chaban_ni_Tsuki,https://cdn.myanimelist.net/r/100x140/images/manga/2/270781.jpg?s=a98e7f8d6cb61b0afbe1089f52af0939,,,,
,Natsu no Zenjitsu,Manga,5,2008,2014,https://myanimelist.net/manga/15242/Natsu_no_Zenjitsu,https://cdn.myanimelist.net/r/100x140/images/manga/1/90125.jpg?s=75d57511f4be3c24b2bf44caff356198,,,,
,Douluo Dalu 3: Longwang Chuanshuo,Manhua,,2016,,https://myanimelist.net/manga/111279/Douluo_Dalu_3__Longwang_Chuanshuo,https://cdn.myanimelist.net/r/100x140/images/manga/1/220472.jpg?s=9fb013470cb6d7ad043852630a18013a,,,,
,Megane ni Koishite,Manga,1,,,https://myanimelist.net/manga/11381/Megane_ni_Koishite,https://cdn.myanimelist.net/r/100x140/images/manga/1/15375.jpg?s=62c30417da0989f9b75b6bd3d7eeebca,,,,
,Kamisama Game,Manga,3,2007,2009,https://myanimelist.net/manga/10620/Kamisama_Game,https://cdn.myanimelist.net/r/100x140/images/manga/3/86189.jpg?s=09edb194c5ef5300e8aac918ba79c457,,,,
,GunSmith Cats,Manga,8,1990,1997,https://myanimelist.net/manga/1319/GunSmith_Cats,https://cdn.myanimelist.net/r/100x140/images/manga/1/186048.jpg?s=1772cdd37c4330ad6956b8939989172a,,,,
,...Seishunchuu!,Manga,2,,,https://myanimelist.net/manga/7886/Seishunchuu,https://cdn.myanimelist.net/r/100x140/images/manga/1/73053.jpg?s=91933b388ba77134a8441c6a28551af6,,,,
,Sheikh ni Sarawarete,Manga,1,,,https://myanimelist.net/manga/34981/Sheikh_ni_Sarawarete,https://cdn.myanimelist.net/r/100x140/images/manga/2/63603.jpg?s=5fcecad09dc76bf3744d892e0b1d1ec9,,,,
,Aitsu ni Koishita 4-ttsu no Wake,Manga,1,2005,2005,https://myanimelist.net/manga/6075/Aitsu_ni_Koishita_4-ttsu_no_Wake,https://cdn.myanimelist.net/r/100x140/images/manga/3/119595.jpg?s=a1024a37e0e25c19765b068cf64643a7,,,,
,One More Age,Manga,2,2016,2017,https://myanimelist.net/manga/104007/One_More_Age,https://cdn.myanimelist.net/r/100x140/images/manga/3/190454.jpg?s=b239eae6b580e7630f040b33a886917d,,,,
,Ashita no Kimi ni Hanabata wo,Manga,1,2013,2014,https://myanimelist.net/manga/86181/Ashita_no_Kimi_ni_Hanabata_wo,https://cdn.myanimelist.net/r/100x140/images/manga/3/149790.jpg?s=42cc075e68007235250eaeb8089fe391,,,,
,Tokyo Marble Chocolate,Manga,1,,,https://myanimelist.net/manga/10371/Tokyo_Marble_Chocolate,https://cdn.myanimelist.net/r/100x140/images/manga/1/13930.jpg?s=1a85ef8cecfefd1c70414ff301fc8e03,,,,
,Mahou no Tenshi Creamy Mami,Manga,3,,,https://myanimelist.net/manga/9882/Mahou_no_Tenshi_Creamy_Mami,https://cdn.myanimelist.net/r/100x140/images/manga/3/13216.jpg?s=1f2a0c3c5959fde43c4c94420e3b7b61,,,,
,Uncontrol,One-shot,,,,https://myanimelist.net/manga/5503/Uncontrol,https://cdn.myanimelist.net/r/100x140/images/manga/3/7009.jpg?s=e380886dc3d9b583ab4b13cfd68d7736,,,,
,Isekai ni Kita Mitai dakedo Dou Sureba Ii no Darou,Manga,,2017,,https://myanimelist.net/manga/111475/Isekai_ni_Kita_Mitai_dakedo_Dou_Sureba_Ii_no_Darou,https://cdn.myanimelist.net/r/100x140/images/manga/3/210477.jpg?s=1d47028ab9876b7b143d418357103372,,,,
,Hakanakumo.,One-shot,,2012,2012,https://myanimelist.net/manga/66497/Hakanakumo,https://cdn.myanimelist.net/r/100x140/images/manga/2/120017.jpg?s=82ee3f29ada6a87047d407c3fdd0f131,,,,
,Miss Not-So Sidekick,Manhwa,,2017,2022,https://myanimelist.net/manga/147827/Miss_Not-So_Sidekick,https://cdn.myanimelist.net/r/100x140/images/manga/1/262407.jpg?s=3d8805c45b7721e90aca381353451bb9,,,,
,Sukeban Deka,Manga,22,1975,1982,https://myanimelist.net/manga/15892/Sukeban_Deka,https://cdn.myanimelist.net/r/100x140/images/manga/3/262081.jpg?s=670516d9fd0cd181651811f4fae0a531,,,,
,Kamisama no Inai Nichiyoubi,Light-Novel,9,2010,2014,https://myanimelist.net/manga/36567/Kamisama_no_Inai_Nichiyoubi,https://cdn.myanimelist.net/r/100x140/images/manga/2/103531.jpg?s=6c9c767f086073483bbe26b7cc6e2eb7,,,,
,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken",Manga,15,2012,2018,https://myanimelist.net/manga/46368/Ore_ga_Ojousama_Gakkou_ni_Shomin_Sample_Toshite_Rachirareta_Ken,https://cdn.myanimelist.net/r/100x140/images/manga/2/163658.jpg?s=0a9c4385507e1a8e1286282d0a2170c7,,,,
,Tora Kiss: A School Odyssey,Manga,4,2012,2014,https://myanimelist.net/manga/39627/Tora_Kiss__A_School_Odyssey,https://cdn.myanimelist.net/r/100x140/images/manga/3/85827.jpg?s=fbc151f1242e4fe2ed3cf551bcf7e566,,,,
,Prison Town e Youkoso!,Manga,2,2018,2018,https://myanimelist.net/manga/113348/Prison_Town_e_Youkoso,https://cdn.myanimelist.net/r/100x140/images/manga/3/210438.jpg?s=a96cb92bf1ca1cb8c2bd1abc653d8ba2,,,,
,ALMIGHTY X 10,Manga,5,2006,2007,https://myanimelist.net/manga/3548/ALMIGHTY_X_10,https://cdn.myanimelist.net/r/100x140/images/manga/2/267032.jpg?s=f78e8ad1a92c64ca254e0287c72ee121,,,,
,Koi Neko,Manga,12,2004,2012,https://myanimelist.net/manga/8889/Koi_Neko,https://cdn.myanimelist.net/r/100x140/images/manga/2/46257.jpg?s=8c939ad6027b2dffb92cb4b1e3d370af,,,,
,Iincho to Furyou-kun,Manga,2,2019,2020,https://myanimelist.net/manga/147425/Iincho_to_Furyou-kun,https://cdn.myanimelist.net/r/100x140/images/manga/1/261804.jpg?s=b362348d8448bdc980afe9a4ba978d3f,,,,
,Yoo Ah Dok-Jon,Manhwa,2,,,https://myanimelist.net/manga/10527/Yoo_Ah_Dok-Jon,https://cdn.myanimelist.net/r/100x140/images/manga/2/14147.jpg?s=2426e811a1e1c8686476aecf51de42cf,,,,
,Legend Hustle,Manhwa,6,,,https://myanimelist.net/manga/23087/Legend_Hustle,https://cdn.myanimelist.net/r/100x140/images/manga/3/57921.jpg?s=d86c7bca74f64da9921665b44317b206,,,,
,49,Manga,1,2012,2012,https://myanimelist.net/manga/43777/49,https://cdn.myanimelist.net/r/100x140/images/manga/1/164485.jpg?s=73d4897284282a2b6f066ddd0d564b99,,,,
,Orc ga Okashite Kurenai!,Manga,2,2017,2018,https://myanimelist.net/manga/115518/Orc_ga_Okashite_Kurenai,https://cdn.myanimelist.net/r/100x140/images/manga/1/213714.jpg?s=72be4ef8ea5c4a36658ff5885792ae01,,,,
,Yuuki Yuuna wa Yuusha-bu Shozoku,Manga,3,2014,2016,https://myanimelist.net/manga/81721/Yuuki_Yuuna_wa_Yuusha-bu_Shozoku,https://cdn.myanimelist.net/r/100x140/images/manga/1/146231.jpg?s=9f019d27f32f5cff55a0eb5219e29324,,,,
,Drug-On,Manga,5,2006,2009,https://myanimelist.net/manga/7713/Drug-On,https://cdn.myanimelist.net/r/100x140/images/manga/1/180313.jpg?s=dacdeb35f5c1aaca7a92950f45602f7c,,,,
,Eroica yori Ai wo Komete,Manga,39,1976,2012,https://myanimelist.net/manga/1022/Eroica_yori_Ai_wo_Komete,https://cdn.myanimelist.net/r/100x140/images/manga/1/252517.jpg?s=0a9111d67e19621879d61570d0a36c35,,,,
,Mozuya-san Gyakujou suru,Manga,10,2008,2013,https://myanimelist.net/manga/50933/Mozuya-san_Gyakujou_suru,https://cdn.myanimelist.net/r/100x140/images/manga/3/92181.jpg?s=2410ed9c2485e6d1acab2f39b1dc736a,,,,
,Refund High School,Manhwa,,2018,2019,https://myanimelist.net/manga/147465/Refund_High_School,https://cdn.myanimelist.net/r/100x140/images/manga/2/261887.jpg?s=d039a6668625156d8fd7d4bc4b7479f9,,,,
,Snow Line,Manga,1,,,https://myanimelist.net/manga/10819/Snow_Line,https://cdn.myanimelist.net/r/100x140/images/manga/3/14557.jpg?s=45ce485ca242919901684d5e9d4a75e4,,,,
,Anti Love Sentai: Hayata☆Joe,One-shot,,2007,2007,https://myanimelist.net/manga/8842/Anti_Love_Sentai__Hayata☆Joe,https://cdn.myanimelist.net/r/100x140/images/manga/2/27508.jpg?s=482d5cc54ee1d24e27d32f781801ab14,,,,
,Cheers!,Manga,,2003,,https://myanimelist.net/manga/15834/Cheers,https://cdn.myanimelist.net/r/100x140/images/manga/5/34587.jpg?s=4331c802afa7f6057d322864ca5ef913,,,,
,War Angels,Manhwa,1,,,https://myanimelist.net/manga/3490/War_Angels,https://cdn.myanimelist.net/r/100x140/images/manga/3/275605.jpg?s=9e658334bc64bbd07d9693b59aa4de83,,,,
,Denki-gai no Honya-san,Manga,15,2011,2017,https://myanimelist.net/manga/42289/Denki-gai_no_Honya-san,https://cdn.myanimelist.net/r/100x140/images/manga/1/188779.jpg?s=06bf67eeddb236b8f0ef56a54081d489,,,,
,Tottemo Yasashii Amae-chan!,Manga,4,2017,2018,https://myanimelist.net/manga/110192/Tottemo_Yasashii_Amae-chan,https://cdn.myanimelist.net/r/100x140/images/manga/2/202009.jpg?s=26a9922fbe2e8e40bde66763dd34eb17,,,,
,Koibumi Biyori,Manga,3,,,https://myanimelist.net/manga/412/Koibumi_Biyori,https://cdn.myanimelist.net/r/100x140/images/manga/1/187563.jpg?s=4a7acc2fce81a9d1ea6c39741c551c3b,,,,
,Majimoji Rurumo,Manga,7,2007,2010,https://myanimelist.net/manga/13254/Majimoji_Rurumo,https://cdn.myanimelist.net/r/100x140/images/manga/2/122543.jpg?s=47024fefc65c3b181f7bbe836c942f2f,,,,
,Hirahira to Gunjou,One-shot,,2018,2018,https://myanimelist.net/manga/124225/Hirahira_to_Gunjou,https://cdn.myanimelist.net/r/100x140/images/manga/3/226587.jpg?s=5bb0418979e16f97e89e0bfdd822fad2,,,,
,Mahouka Koukou no Rettousei: Steeplechase-hen,Manga,3,2019,2020,https://myanimelist.net/manga/119295/Mahouka_Koukou_no_Rettousei__Steeplechase-hen,https://cdn.myanimelist.net/r/100x140/images/manga/1/234409.jpg?s=40409b26cb00887e53aebc4224f3a7a3,,,,
,Kill Me Baby,Manga,,2008,,https://myanimelist.net/manga/18472/Kill_Me_Baby,https://cdn.myanimelist.net/r/100x140/images/manga/1/158552.jpg?s=197660a5be86b566d1b312e68fea2a7d,,,,
,Chichi to Hige-Gorilla to Watashi,Manga,7,2011,2018,https://myanimelist.net/manga/84983/Chichi_to_Hige-Gorilla_to_Watashi,https://cdn.myanimelist.net/r/100x140/images/manga/2/147377.jpg?s=e914c17b884c4520040b9ec547fb2a47,,,,
,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Manga,2,2013,2014,https://myanimelist.net/manga/60679/Escha___Logy_no_Atelier__Tasogare_no_Sora_no_Renkinjutsushi,https://cdn.myanimelist.net/r/100x140/images/manga/2/164743.jpg?s=b86a93b7ef966c32217a49e63468054a,,,,
,Kono Minikuku mo Utsukushii Sekai,Manga,3,2003,2005,https://myanimelist.net/manga/3989/Kono_Minikuku_mo_Utsukushii_Sekai,https://cdn.myanimelist.net/r/100x140/images/manga/2/179035.jpg?s=8bbe5263457b87b368a6383172b5f4a1,,,,
,Kindaichi Shounen no Jikenbo Returns,Manga,14,2013,2017,https://myanimelist.net/manga/69503/Kindaichi_Shounen_no_Jikenbo_Returns,https://cdn.myanimelist.net/r/100x140/images/manga/1/203492.jpg?s=d3b514a5942419c1e292426e7af3e63c,,,,
,Tsuujou Kougeki ga Zentai Kougeki de 2-kai Kougeki no Okaasan wa Suki desu ka?,Light-Novel,11,2017,2020,https://myanimelist.net/manga/103578/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_2-kai_Kougeki_no_Okaasan_wa_Suki_desu_ka,https://cdn.myanimelist.net/r/100x140/images/manga/2/189599.jpg?s=0ee77e2212c3582f8824e55cf0fa26a3,,,,
,If Stage!!,Doujinshi,1,2014,2014,https://myanimelist.net/manga/91022/If_Stage,https://cdn.myanimelist.net/r/100x140/images/manga/1/164771.jpg?s=84e54dc9cb5e34caa111b2312b0521de,,,,
,Fukurami Fukuramu: Minase Mayu Sakuhinshuu,Manga,1,2012,2018,https://myanimelist.net/manga/117928/Fukurami_Fukuramu__Minase_Mayu_Sakuhinshuu,https://cdn.myanimelist.net/r/100x140/images/manga/1/215241.jpg?s=010b84337dcb7c8d2cd17ae57a14a1be,,,,
,Papa no Iukoto wo Kikinasai!: Rojou Kansatsu Kenkyuu Nisshi,Manga,4,2011,2012,https://myanimelist.net/manga/33101/Papa_no_Iukoto_wo_Kikinasai__Rojou_Kansatsu_Kenkyuu_Nisshi,https://cdn.myanimelist.net/r/100x140/images/manga/1/171414.jpg?s=c1aeadc69391b3432a5e3e13d8331752,,,,
,Tawawa na Oppai wa Suki desu ka?: Kyonyuu Shoujo Anthology Comic,Manga,7,2017,2019,https://myanimelist.net/manga/111508/Tawawa_na_Oppai_wa_Suki_desu_ka__Kyonyuu_Shoujo_Anthology_Comic,https://cdn.myanimelist.net/r/100x140/images/manga/2/240487.jpg?s=7fe0511997a6847d4915bb926a1692dd,,,,
,Holyland,Manga,18,2000,2008,https://myanimelist.net/manga/3285/Holyland,https://cdn.myanimelist.net/r/100x140/images/manga/3/258962.jpg?s=ea85e9524be23dfa9391aff8bf74cb5a,,,,
,Tomoshibi,Manga,1,1987,1987,https://myanimelist.net/manga/35477/Tomoshibi,https://cdn.myanimelist.net/r/100x140/images/manga/1/64447.jpg?s=80f95cdd893b7fb7151a4b5141595278,,,,
,Apartmate,Manga,2,,2015,https://myanimelist.net/manga/73729/Apartmate,https://cdn.myanimelist.net/r/100x140/images/manga/2/127927.jpg?s=5b398d26e0baef6a60964be95ff29b39,,,,
,Poison Dragon: The Legend of an Asura,Manhwa,,2021,,https://myanimelist.net/manga/150784/Poison_Dragon__The_Legend_of_an_Asura,https://cdn.myanimelist.net/r/100x140/images/manga/1/267204.jpg?s=4c2d229f65ffbdf80a6f49392b03ecf6,,,,
,Game Yaru kara 100-en Kashite!,Manga,3,2016,2018,https://myanimelist.net/manga/107706/Game_Yaru_kara_100-en_Kashite,https://cdn.myanimelist.net/r/100x140/images/manga/3/197340.jpg?s=d4867f8a4c07b46ecd50941793dc010c,,,,
,Xing Gui Shi Tian Kong De Dao Lu,Manhua,9,2007,2014,https://myanimelist.net/manga/10797/Xing_Gui_Shi_Tian_Kong_De_Dao_Lu,https://cdn.myanimelist.net/r/100x140/images/manga/3/178593.jpg?s=b16a4ff3a3a2bb8c218690f2d87d5d9f,,,,
,Kunisaki Izumo no Jijou,One-shot,,2009,2009,https://myanimelist.net/manga/13406/Kunisaki_Izumo_no_Jijou,https://cdn.myanimelist.net/r/100x140/images/manga/1/19033.jpg?s=279e00f99a06842877c4298bbbf9dae0,,,,
,Revolt,Manga,,2014,,https://myanimelist.net/manga/90068/Revolt,https://cdn.myanimelist.net/r/100x140/images/manga/1/157715.jpg?s=93b0c41ef16f1cbecaaeaffd4d100f52,,,,
,86,Light-Novel,,2017,,https://myanimelist.net/manga/104039/86,https://cdn.myanimelist.net/r/100x140/images/manga/3/194315.jpg?s=32896b003a0fb5faa3d2c348dd25bd6e,,,,
,666 Satan,Manga,19,2001,2007,https://myanimelist.net/manga/32/666_Satan,https://cdn.myanimelist.net/r/100x140/images/manga/3/267783.jpg?s=0d90bf4390b1ff97a9c34a86195f4f4d,,,,
,Murenase! Seton Gakuen,Manga,6,2016,2017,https://myanimelist.net/manga/106799/Murenase_Seton_Gakuen,https://cdn.myanimelist.net/r/100x140/images/manga/1/198434.jpg?s=a39d7de8043ab581a90f7b8153be0c97,,,,
